id,timestamp,emotion,model_confidence,match,turn,motivated,condition
89,"07/18/2024, 12:07:14",fear,99.45462948624736,False,1,False,E-ToM
89,"07/18/2024, 12:07:15",sad,54.937225580215454,False,1,False,E-ToM
89,"07/18/2024, 12:07:15",neutral,75.34381747245789,False,1,False,E-ToM
89,"07/18/2024, 12:07:15",neutral,87.79115080833435,False,1,False,E-ToM
89,"07/18/2024, 12:07:17",neutral,99.02455806732178,False,1,False,E-ToM
89,"07/18/2024, 12:07:17",neutral,98.276686668396,False,1,False,E-ToM
89,"07/18/2024, 12:07:18",neutral,92.15975999832153,False,1,False,E-ToM
89,"07/18/2024, 12:07:18",neutral,98.67355839329262,False,1,False,E-ToM
89,"07/18/2024, 12:07:18",neutral,97.68689274787903,False,1,False,E-ToM
89,"07/18/2024, 12:07:19",neutral,99.33627843856812,False,1,False,E-ToM
89,"07/18/2024, 12:07:19",neutral,96.8762755393982,False,1,False,E-ToM
89,"07/18/2024, 12:07:19",neutral,97.19834327697754,False,1,False,E-ToM
89,"07/18/2024, 12:07:20",neutral,99.74738955497742,False,1,False,E-ToM
89,"07/18/2024, 12:07:20",neutral,95.52532434463501,False,1,False,E-ToM
89,"07/18/2024, 12:07:20",neutral,99.49125051498413,False,1,False,E-ToM
89,"07/18/2024, 12:07:20",neutral,97.84190654754639,False,1,False,E-ToM
89,"07/18/2024, 12:07:21",neutral,99.24253816858162,False,1,False,E-ToM
89,"07/18/2024, 12:07:22",neutral,99.77291226387024,False,1,False,E-ToM
89,"07/18/2024, 12:07:22",neutral,91.1835253238678,False,1,False,E-ToM
89,"07/18/2024, 12:07:22",neutral,97.18824012209416,False,1,False,E-ToM
89,"07/18/2024, 12:07:22",neutral,99.16673302650452,False,1,False,E-ToM
89,"07/18/2024, 12:07:22",neutral,97.68431186676025,False,1,False,E-ToM
89,"07/18/2024, 12:07:23",neutral,97.77529239654541,False,1,False,E-ToM
89,"07/18/2024, 12:07:23",neutral,99.04864430427551,False,1,False,E-ToM
89,"07/18/2024, 12:07:23",neutral,98.50791692733765,False,1,False,E-ToM
89,"07/18/2024, 12:07:23",neutral,95.4456386235737,False,1,False,E-ToM
89,"07/18/2024, 12:07:24",neutral,92.18857288360596,False,1,False,E-ToM
89,"07/18/2024, 12:07:24",neutral,99.0925669670105,False,1,False,E-ToM
89,"07/18/2024, 12:07:24",neutral,84.74923372268677,False,1,False,E-ToM
89,"07/18/2024, 12:07:24",neutral,87.38765120506287,False,1,False,E-ToM
89,"07/18/2024, 12:07:25",neutral,99.21841616740323,False,1,False,E-ToM
89,"07/18/2024, 12:07:25",neutral,99.25909633988717,False,1,False,E-ToM
89,"07/18/2024, 12:07:25",neutral,96.87650203704834,False,1,False,E-ToM
89,"07/18/2024, 12:07:25",neutral,97.44091033935547,False,1,False,E-ToM
89,"07/18/2024, 12:07:26",neutral,95.45121843204278,False,1,False,E-ToM
89,"07/18/2024, 12:07:26",neutral,98.28335046768188,False,1,False,E-ToM
89,"07/18/2024, 12:07:26",neutral,98.46125841140747,False,1,False,E-ToM
89,"07/18/2024, 12:07:26",neutral,99.28204417228699,False,1,False,E-ToM
89,"07/18/2024, 12:07:26",neutral,97.6231335176905,False,1,False,E-ToM
89,"07/18/2024, 12:07:27",neutral,99.0892826968004,False,1,False,E-ToM
89,"07/18/2024, 12:07:27",neutral,95.54656717458768,False,1,False,E-ToM
