id,timestamp,game_time,emotion,model_confidence,head_pose,x_pose,y_pose,z_pose,match,turn,motivated,condition
3,"05/28/2025, 19:57:36",0:5,neutral,0,Forward,4.497938145492077,1.5529957623253563,0.06711685309719656,False,2,no,E-ToM
3,"05/28/2025, 19:57:40",0:9,happy,0.7935483870967741,Forward,6.163208597569304,3.2809427707733185,0.034066916522422296,False,4,no,E-ToM
3,"05/28/2025, 19:57:43",0:12,happy,0.9182795698924731,Forward,3.1358419594110556,1.459468360900348,0.03288592456751949,True,6,yes,E-ToM
3,"05/28/2025, 19:57:57",0:25,angry,-1.0,Forward,6.5223570701602105,1.4392760666603044,0.01299294266973086,False,8,yes,E-ToM
3,"05/28/2025, 19:58:06",0:35,neutral,-0.9419354838709677,Forward,6.043240288670129,1.2354810578627957,-0.012328869849898252,True,10,yes,E-ToM
3,"05/28/2025, 19:58:15",0:43,neutral,-0.49892473118279573,Forward,6.31426142181745,1.9427549785199998,0.026527372329740024,False,12,yes,E-ToM
3,"05/28/2025, 19:58:29",0:58,happy,0.767741935483871,Forward,-1.1544747425518913,1.1465998914075146,-0.0356482877888884,False,14,yes,E-ToM
3,"05/28/2025, 19:58:38",1:7,neutral,-0.38924731182795697,Forward,6.063788539817976,-1.0144544530291044,0.005296920692603931,False,16,no,E-ToM
3,"05/28/2025, 19:58:44",1:12,neutral,-0.9311827956989247,Forward,7.249099538584935,-0.2775391206832911,0.0018695888441191022,True,18,yes,E-ToM
3,"05/28/2025, 19:58:54",1:23,angry,-0.421505376344086,Forward,4.469789507958408,10.729640423042522,0.1230862437919842,False,20,yes,E-ToM
3,"05/28/2025, 19:59:03",1:32,neutral,-0.9311827956989247,Forward,5.2444674841728425,2.1226169546750224,0.005807368090767292,False,22,no,E-ToM
3,"05/28/2025, 19:59:14",1:42,neutral,-1.0,Forward,4.869766655759415,5.330685455467548,0.12059464957870653,True,24,yes,E-ToM
3,"05/28/2025, 19:59:21",1:50,happy,0.7161290322580645,Forward,-3.698317296185791,5.660181818462695,0.11732442508005747,False,26,yes,E-ToM
3,"05/28/2025, 19:59:29",1:58,neutral,-0.021505376344086023,Forward,-0.8248902971789569,-1.2426460195165663,0.1364571416388426,False,28,yes,E-ToM
3,"05/28/2025, 20:00:04",2:32,neutral,-0.3935483870967742,Forward,-0.8656438624848061,3.304774659924439,0.20458767086153867,True,32,yes,E-ToM
3,"05/28/2025, 20:00:12",2:40,neutral,-0.9483870967741934,Forward,0.5710050329935876,2.8971995746944965,0.20054383372004142,False,34,yes,E-ToM
3,"05/28/2025, 20:00:20",2:49,neutral,-0.6322580645161291,Forward,2.782559632735445,3.002719073161832,0.08061352288549893,True,36,yes,E-ToM
3,"05/28/2025, 20:00:28",2:57,neutral,-0.44731182795698926,Forward,1.006167045077689,4.575047576276701,0.16977294601786305,False,38,no,E-ToM
3,"05/28/2025, 20:00:31",3:0,neutral,-0.9204301075268817,Forward,1.738866137689179,4.695548942648268,0.16185161913760068,False,40,yes,E-ToM
3,"05/28/2025, 20:01:04",3:32,neutral,-0.01935483870967742,Forward,3.285495939349064,-4.45166768376233,0.14710950323634853,True,44,no,E-ToM
3,"05/28/2025, 20:01:09",3:38,neutral,0.0,Forward,2.337930806169403,-4.822031277216553,0.1059669456097421,True,46,no,E-ToM
3,"05/28/2025, 20:01:14",3:43,happy,0.8580645161290321,Forward,-9.526361862301748,-0.7481449664209896,0.2844343569676831,False,48,yes,E-ToM
3,"05/28/2025, 20:01:23",3:51,happy,1.0,Forward,-5.346604504086612,1.0397585965227094,0.2792852324868233,True,50,yes,E-ToM
3,"05/28/2025, 20:01:29",3:58,neutral,-0.6279569892473118,Forward,-4.599823108234296,-1.9773229774719783,0.28124496366311497,True,52,no,E-ToM
3,"05/28/2025, 20:01:33",4:2,angry,-0.3225806451612903,Forward,-3.2806725774706673,-5.565179573869872,0.13484003961224755,False,54,yes,E-ToM
3,"05/28/2025, 20:01:41",4:10,neutral,0.0,Forward,1.1822334536596033,-7.19265418256479,0.14684147433039954,True,56,yes,E-ToM
3,"05/28/2025, 20:01:49",4:18,neutral,-0.002150537634408602,Forward,2.559905745413423,-10.474666088634526,0.18237266986381392,True,58,yes,E-ToM
