id,timestamp,game_time,emotion,model_confidence,match,turn,motivated,condition
5,"04/03/2025, 18:38:53",0:21,neutral,78.00650596618652,True,2,yes,E-ToM
5,"04/03/2025, 18:39:33",1:0,neutral,0,True,4,yes,E-ToM
5,"04/03/2025, 18:39:38",1:6,neutral,50.93131065368652,True,6,no,E-ToM
5,"04/03/2025, 18:39:43",1:11,neutral,78.58294248580933,True,8,yes,E-ToM
5,"04/03/2025, 18:39:50",1:17,neutral,78.65944504737854,True,10,yes,E-ToM
5,"04/03/2025, 18:39:56",1:23,neutral,69.63839530944824,True,12,yes,E-ToM
5,"04/03/2025, 18:40:07",1:34,neutral,53.10310125350952,True,14,yes,E-ToM
5,"04/03/2025, 18:40:12",1:39,neutral,0,True,16,no,E-ToM
5,"04/03/2025, 18:40:19",1:46,neutral,0,True,18,no,E-ToM
5,"04/03/2025, 18:40:22",1:49,neutral,90.21500886768156,True,20,yes,E-ToM
5,"04/03/2025, 18:40:25",1:53,neutral,0,True,22,yes,E-ToM
